mos	fr	en
Ra yɛgl-y taab n zĩnd ye.	Ne vous assoyez pas l'un à côté de l'autre.	Don't sit next to each other.
Bɩ y kõ, la b na kõ yãmba. B na n maka sõama n kõ yãmba, n dĩ, n yegse, n ning tɩ sudgi.	Donnez, et l'on vous donnera: on versera dans votre sein une bonne mesure, serrée, secouée et qui déborde:	Give, and it will be given to you. Good measure, pressed down, shaken together, running over, will be put into your lap.
So-yɛka.	Croisement des routes.	Crossroads.
A le waame yɛsa.	Il est encore venu.	He came again.
Gũus tɩ fo yɛsgã zĩig pa sõama ye.	Fais attention car l'endroit où tu est positionné n'est pas bon.	Be careful for your position is not good.
Yell sãamda a ka yɛta.	Un problème se gâte parce qu'il n'y a personne pour le soulever. (Proverbe: dans la mesure du possible, toute préoccupation doit être soulevée pour permettre d'en chercher une solution.)	A problem is spoiled because there is no one to speak about it. (Proverb: whenever possible, any concerns should be raised so that a solution can be found.)
-da, -de, -me ...	-da, -de, -me ...	-da, -de, -me ...
n wa	venir	to come
M baaba yiime.	Mon père est sorti.	My father went somewhere.
Yãmb yita yɛ?	D'où venez-vous?	Where do you come from?
Neb a yi.	Deux personnes.	Two people.
A sãda yibeo-maasga.	Il s'est levé tôt le matin.	He got up early in the morning.
Ne y yi-yibeoogo.	Bonjour.	Good morning.
Mam yibga fass.	J'ai tout à fait oublié.	I forgot it completely.
Rɩ-kãngã yaa kaam wʋsgo, a kaamã yidgda yam.	Cette nourriture a trop de huile, elle est dégoûtante.	This food has too much oil in it, it is disgusting.
Yidg gĩsgã tɩ gĩdame.	Défais le fil car il est entravé.	Disentangle the thread for is is messed up.
Yidg fuugã t'a gese.	Déplie le tissu pour qu'il puisse voir.	Unfold the cloth so he can see it.
fʋ, yãmba	tu, vous	you (sg), you (pl)
A tʋma bãmb yiib‑yiib tɩ b kẽng tẽngẽ.	Il les envoya deux à deux pour aller dans la ville.	He sent them two by two into the town.
Koamb a yiib n wa.	Deux enfants sont venus.	Two children have come.
Nin-yiidu.	Yeux presque fermés.	Eyes almost closed.
A yiiga a ninã n getẽ.	Il a entrouvert les yeux et a regardé.	He opened slightly the eyes and looked.
Fuugã yiigame.	L'habit est devenu moins serré.	The shirt became less tight.
Nin-kẽemã nin yiigame.	Les yeux du vieillard ne voient plus claire.	The eyes of the old man don't see clearly any more.
A sã n kẽ roogẽ wã bɩ f yiis-a yɩnga.	S'il entre la maison, fais-le sortir dehors.	When he enters the house, make him get outside.
La yẽ kẽng n pʋgla tigsdbã n tɩ yiis ki.	Elle partit donc et alla glaner dans un champ, derrière les moissonneurs.	So she went out to the fields and walked behind the workers, picking up the corn which they left.
Mam sã n getẽ yaa yiising yiisinga.	Si je regarde, c'est flou.	When I look, it is blurred.
Liull sã n kaoos tɩɩg zugu, a yɩkda ne pĩim.	Si un l'oiseau dure sur l'arbre, il s'envolera avec une flèche. (proverbe: quand quelqu'un voit un danger et ne prend pas les précautions pour l'éviter, il sera victime de ce danger)	If a bird lasts on the tree, it will fly away with an arrow. (proverb: when someone sees a danger and does not take the precautions to avoid it, he will be a victim of this danger)
Yik n yals yĩngri!	Lève-tôt debout !	Stand up!
Yik weefã t'a lʋɩɩme.	Remette le vélo debout car il est tombé.	Set the bike upright for it fell on the ground.
A bãagã le yik-a lame.	Sa maladie a recommencé à faire mal.	His illness started to hurt again.
A gãda weefã ruzãntã n yilgi.	Il fait tourner la jante du vélo.	He turns the bike's wheel rim.
Bʋʋg yaa yir rũnga.	La chèvre est un animal domestique.	The goat is a domestic animal.
Yellã ling-a lame t'a yirgi.	Le problème l'a surpris et il se sent étourdi.	The problem surprised him and he feels giddy.
F yʋʋr sã n sãam raagẽ, ka tõe n kul yir n tɩ maneg ye.	Si ton nom est terni au marché, il est difficile de le soigner à la maison. (proverbe disant: Tous ceux qui ont eu une mauvaise information n'auront pas le démenti ou la vraie version de la situation et continueront de véhiculer la fausse au détriment de la personne)	If your name is tarnished at the market, it is difficult to cure it at home. (proverb saying: All those who have had bad information will not have the denial or the true version of the situation and will continue to convey the false one to the detriment of the person)
B tãsa biigã t'a saad n yirdẽ.	On a grondé l'enfant et il se promène étourdi.	They yelled at the child and he walks around dizzy.
roog tar a yitaasa tãabo.	L'immeuble a trois étages.	The building has three floors.
Neb rag n yita zĩig fãa n wat bãmb nengẽ.	L'on venait à lui de toutes parts.	People were coming to him from every quarter.
Ra le yĩ-y mangɩ-kãsã tɩ y yẽnã na n zãabame.	Ne rongez plus des mangues non-mûres sinon les dents font mal.	Don't eat unripe mangos any more or the teeth will hurt.
A lobga bʋʋg tɩ yĩd neda.	Il a lancé quelque chose vers une chèvre mais accidentellement cela a touché une personne.	He threw something at a goat but accidentally it hit a person.
A yĩgame n pʋʋsdẽ.	Il prie à genoux.	He prays on his knees.
Zũnzũy n be be n yĩgda.	Les vers bougent en ondulant leur corps.	The worms move by waving their bodies.
A yĩgimdame n pʋʋse.	Il s'est mis à genoux et a prié.	He got on his knees and prayed.
Roogã yĩgimdame bala, a ka lʋɩ zãng ye.	La case s'est affaissée seulement, elle n'est pas complètement tombée.	The just hut sank down, it didn't fall completely.
A yĩgmame n ta kaanẽ.	Il a marché sur ses genoux jusqu'ici.	He walked on his knees till here.
A gomda ne-a t'a yĩgsda a bãgdo.	Elle a parlé avec lui mais il hoché ses épaules.	She talked to him but he only shrug his shoulders.
Rigd n yĩid yaa gãe n yi}id kae.	Être obligé d'arracher des morceaux en courant, c'est à défaut de ne pouvoir le faire en restant couché. (proverbe disant: tout le monde aime des opportunités faciles, mais étant donné que cela n'est pas évident, parfois on est obligé de prendre des risques énormes.)	Being forced to tear off pieces while running is failing to be able to do so while lying down. (A saying goes: everyone likes easy opportunities, but since it is not always possible, sometimes you have to take huge risks.)
Baagã yĩiga biigã karga.	Le chien a mordu dans la jambe de l'enfant.	The dog bit into the child's leg.
Baagã yĩiga a yẽnã tɩ wagdrã zoe.	Le chien a montré les dents et le voleur a fui.	The dog showed his teeth and the thief run away.
Koomã sẽn tẽgen tɩ kaoosã, sɩmo wã lalg yĩigame tɩ zĩigã ya maasr wakat fãa.	Lorsque l'eau stagne longtemps, le ciment du mur ne retiens plus l’eau et l'endroit est toujours humide.	When the water stagnates, the cement of the wall doesn't keep away the water any more and the place is always humid.
Gʋʋrã yĩim-a lame t'a ka le tõe n bas ye.	Il est devenu dépendent des noix de cola, il ne peut plus les laisser.	He became addicted to cola nuts and can't do without them any more.
A lʋɩɩme t'a kargã yĩlgi.	Il est tombé et sa jambe est déboîtée.	He fell and his leg is dislocated.
Mam yĩma a yʋʋre.	J'ai oublié son nom.	I forgot his name.
Wẽnd na kõ-d laafɩ la yĩn-maasem.	Que Dieu nous donne la paix et la santé.	May God give us peace and health.
Wẽnd na kõ-d yĩndaare.	Au-revoir, à la prochaine fois.	Goodbye, see you another time.
A Zeesi Kiris kii tõnd yĩnga.	Jésus-Christ est mort pour nous.	Jesus Christ died for us.
A naamã reegr yʋʋm piig yĩng la a maan kaalem.	Au bout de dix ans du pouvoir il est décédé.	He rained for ten years and then he died.
A yĩinsa zabdame.	Il ne se sens pas» il est malade.	He is not well, He is sick.
A fuugã yĩngame n ka le yit ye.	Son habit est devenu terne.	His garment became colourless.
Dʋ roogã yĩngr n yɛdge.	Monte sur la terrasse de la maison et étale les choses pour sécher.	Go upstairs on the housetop to spread out the things to dry.
Wẽnnaam yaa yĩngr la tẽng naanda.	Dieu est le créateur du ciel et de la terre.	God is the creator of heaven and earth.
Mam lobga baagã, sẽn yõsg n ta foomã yaa yĩudgu.	J'ai jeté une pierre au chien, que cela t'a touché est un accident.	I threw a stone at the dog, that it hit you is an accident.
Yɩ ha' tɩ m pãb-fo.	Fais le moindre bruit et je te frapperai.	Make the slightest noise and I will beat you.
Maan tɩ yɩ sõama.	Fais que ça soit bien.	Act in a way that it is good.
Abraham n yɩ pipi soab Wẽnnaam sẽn boole.	Abraham était le premier que Dieu avait appelé.	Abraham was the first man that God called.
Yɩ ha' tɩ m kʋ-f.	Fais un bruit de «ha» et je te tue.	Make a noise of «ha» and I kill you.
Da yɩ-y wa bãmb ye.	Ne soyez pas comme eux.	Do not be like them.
A yɩb n waame.	Il vient d’habitude.	He comes usually.
Yɩbr-kʋd n good taaba.	Ce sont les vieux charognards qui se battent à coups de bec. (Proverbe, sens: des personnes du même âge, de même goût ou classe sociale sont inclinés d'entretenir des relations entre elles.)	The old vultures fight by pecking each other. (Proverb, meaning: People of the same social status or ideology like to be in each others company).
f yɩda-yɩda wã, f dabda yɛɛnẽ?	f yɩda-yɩda wã, f dabda yɛɛnẽ?	f yɩda-yɩda wã, f dabda yɛɛnẽ?
Bao raoog sẽn ya yɩdbre.	Cherche un bois qui est fourchu.	Get a forked stick / wood.
a sẽn bãng tɩ b rat n yõk-a lame wã a sẽn yɩ n fɩɩle.	a sẽn bãng tɩ b rat n yõk-a lame wã a sẽn yɩ n fɩɩle.	a sẽn bãng tɩ b rat n yõk-a lame wã a sẽn yɩ n fɩɩle.
Yãk gʋ-yɩgell a ye n kõ-ma.	Donne-moi une grosse cola.	Give me a big cola nut.
Yɩɩ baaga.	C'était un chien.	It was a dog.
Kibsã yɩɩ ka.	La fête s'est passée ici.	the celebration happened here.
A sũur yɩɩ noogo.	Il a été content.	He was happy.
Bãmb na n yɩɩ mam neba.	Ils seront mes gens.	They will be my people.
Noaagã lobga gel-yɩɩbre.	La poule a pondu un double œuf.	The hen has laid a double egg.
Mam woglem yɩɩda foo.	Je suis plus grand / long que toi.	I am taller than you.
Bɩ fo yɩɩdgrã yɩ vẽneg nebã fãa nifẽ.	Que tes progrès soient évident pour tous.	May your advancement be obvious for all.
B kẽnga hal yɩɩg-yɩɩga.	Ils marchent très loin.	They walk very far away.
Bobo bee hal yɩɩga.	Bobo est très loin.	Bobo is very far away.
« Wa ka! »	« Viens ici ! »	«Come here!»
Mam woglem na n yɩɩga foo.	Je serai plus grand / long que toi.	I will be taller than you.
Sãy wã yɩɩga kutã ne yɩʋʋgo.	Le forgeron rient le fer avec des pinces.	The blacksmith holds the iron with the pincers.
Pagã ne rao wã zombame n yɩɩge.	La femme et l'homme s'embrassent.	The woman and the man hug each other.
A yɩɩnda sõama.	Elle chante bien.	She sings well.
Naafã yɩɩlle.	Corne de vache.	Horn of the cow.
Ket n werd yaa ket n yɩɩndẽ.	Continuer d'écraser (du mil), c'est continuer de chanter. (proverbe, sens: il faut toujours garder espoir)	Continuing grinding (millet), means also continuing singing (proverb, always keep hoping, giving up doesn't resolve problems).
Liuulã yɩkame n tɩ zaood tɩɩgã.	L'oiseau s'est envolé et s'est assis sur un arbre.	The bird flew away and sits on a tree.
Biigã yɩk n zomba bõangã.	L'enfant a sauté sur l'âne.	The child jumped on the donkey.
Fuugã yɩkame n ka le limd-a ye.	L'habit a rétréci et ne le couvre plus complètement.	The garment shrank and doesn't fully cover him any more.
Ko-yɩlemde.	Eau potable.	Clean drinking water.
Wẽnnaam maana bõn-kãngã, sẽn na n yɩlẽ tɩ ninsaalbã bao bãmba.	Dieu a fait cela afin qu'ils cherchent Dieu pour le trouver si possible.	God did that in order that they should seek him.
Yɩlg ki wã tɩ yaa kuga.	Trempe le mil dans l'eau car il y en a des cailloux dedans.	Seep the millet into the water to get rid of the stones in it.
Zĩigã pɩɩsame tɩ lebg yɩlll.	On a balayé l'endroit et c'est devenu très propre.	The place was swept and became very clean.
Wẽ n yɩlem n kʋʋd waafo.	Tue le serpent en le frappant à répétition.	Kill the snake by hitting it several times.
B pula rãamã koom tɩ lebg yɩlsenga.	Ils ont dilué la bière que c'est devenu trop liquide.	They diluted the beer so much that it became too clear.
M ma boond-m-la yɩnga.	Ma mère m’appelle dehors.	My mother calls me to come outside.
Wa yɩsa!	Viens maintenant !	Come now!
A le waame yɩsa.	Il est encore venu.	He came again.
Waaf sã n tall a menga, a yɩta wag-bedre.	Si un serpent est prudent, il sera un gros serpent. (proverbe: la prudence est importante)	If a snake is careful, it will be a big snake. (proverb: caution is important)
Wẽnnaam noor a yoob soaba: Ra yo ye.	Le sixième commandement de Dieu dit: Ne commette pas l'adultère.	God's sixth commandment says: Don't commit adultery.
Mam yam yood ne a na wa ka rũndã.	Je doute qu'il vienne ici aujourd'hui.	I doubt that he will come here today.
B walg-a-la koom t'a yɛs yoaa.	On l'a arrosé d'eau qu'il est là complètement trempé.	They poured water on him so that he stands there completely wet.
Rɩk-a yoaa.	Prends-le discrètement.	Take him discretely.
A taame n mik tɩ mobillã loogẽ t'a yɛs yoaa.	Il est venu trouver que sa voiture a disparu et il se tient là désemparé.	He came and noticed that his car has disappeared and so he is there perplexed.
Zĩ-yoaag ka tar tɩɩs wʋsg ye.	Un endroit clairsemé n'a pas beaucoup d'arbres.	An sparsely planted place hasn't got many trees.
F ligd sã n pa ta sõas ligdi, bɩ f ra yoaala.	Proverbe: Si ton argent ne te permet pas d'acheter des rainettes, achète des grenouilles. rainettes sont difficile à attraper, les grenouilles facile)	Proverb: If your money can't buy jumping frogs, then buy frogs that don't jump (and thus are easy to catch).
A lisa koomẽ wã n mem yoaba.	Il est plongé dans l'eau et a disparu complètement.	He dove into the water and disappeared completely.
Sẽn tak wĩirã, a yɩɩ yoala n lok nana-nana.	La manière que les cordes sont mises, ce sera facile à les défaire.	The way the strings are pulled together, it will be no problem to undo them.
Yellã kell n yɩɩ yoala woto, tɩ ned fãa paam a menga.	Le problème est resté sans difficultés, tout le monde est content.	The problem remained without difficulties, everybody is satisfied.
Wed-paalle.	Vélo tout neuf.	New bike.
A zoeta yoanda-yoanda.	Elle court en dandinant.	she runs waddling.
